ID	Log2FC	FDR	AveExpr	P value	MUP-uPA_1 CPM	MUP-uPA_2 CPM	MUP-uPA_3 CPM	MUP-uPA_4 CPM	MUP-uPA-doubleTrt_1 CPM	MUP-uPA-doubleTrt_2 CPM	MUP-uPA-doubleTrt_3 CPM	MUP-uPA-doubleTrt_4 CPM
ENSMUSG00000028497	-0.485195977	0.340965023	2.634551493	0.05073871	7.973	8.997	6.792	6.375	4.542	5.173	6.223	3.196
ENSMUSG00000034653	0.293150061	0.341104152	4.569488724	0.050826555	23.845	23.844	21.715	20.723	24.235	24.051	23.417	26.348
ENSMUSG00000045917	-0.494712813	0.341104152	3.544084567	0.050819925	16.49	16.304	17.331	7.524	10.05	10.676	6.091	9.269
ENSMUSG00000078866	-0.524885282	0.341104152	5.471334696	0.050824211	74.005	35.325	81.363	31.613	27.988	44.743	26.868	37.296
ENSMUSG00000041477	-0.584063469	0.342089244	1.692415541	0.050995785	4.079	4.212	4.663	2.838	2.29	2.579	1.827	2.628
ENSMUSG00000003644	-0.525460921	0.342617759	4.216127485	0.051104618	16.318	37.499	16.426	22.373	16.666	19.853	10.084	10.729
ENSMUSG00000049307	-1.101999475	0.342617759	-0.495333291	0.051119532	0.689	1.291	0.974	0.396	0.254	0.6	0.203	0.292
ENSMUSG00000103897	-0.958355244	0.342997839	-0.251052856	0.051198746	0.958	1.13	0.541	1.296	0.466	0.445	0.575	0.304
ENSMUSG00000001467	0.439546537	0.343198162	8.206771975	0.051378503	193.084	359.759	253.417	256.954	242.151	256.224	421.569	358.064
ENSMUSG00000024026	0.40895266	0.343198162	8.038733689	0.051297759	170.074	290.412	191.542	300.157	252.019	261.982	304.012	310.556
ENSMUSG00000031778	-0.835111559	0.343198162	1.605932148	0.051419402	6.608	2.785	4.385	2.046	1.081	1.799	3.655	1.314
ENSMUSG00000042272	-0.468190019	0.343198162	2.662430002	0.051267586	9.366	6.454	6.89	7.722	5.47	4.258	4.67	5.182
ENSMUSG00000042363	0.550328248	0.343198162	4.997103105	0.051430299	22.523	28.871	19.419	37.883	21.309	24.831	53.331	42.551
ENSMUSG00000061947	0.302516736	0.343198162	7.440732941	0.051361144	202.078	150.81	158.76	149.023	182.494	162.779	197.147	180.276
ENSMUSG00000074807	-0.868787882	0.343198162	0.897197996	0.051366038	1.948	1.495	2.555	3.348	1.763	1.215	1.245	0.373
