ID	Log2FC	FDR	AveExpr	P value	MUP-uPA_1 CPM	MUP-uPA_2 CPM	MUP-uPA_3 CPM	MUP-uPA_4 CPM	MUP-uPA-doubleTrt_1 CPM	MUP-uPA-doubleTrt_2 CPM	MUP-uPA-doubleTrt_3 CPM	MUP-uPA-doubleTrt_4 CPM
ENSMUSG00000073830	4.202007438	2.67E-73	7.336668617	1.75E-77	13.503	19.089	22.551	15.443	288.022	228.814	374.33	264.502
ENSMUSG00000073842	4.712726962	1.35E-63	8.974838009	1.77E-67	38.554	42.662	26.448	48.508	803.573	646.738	1114.055	1072.896
ENSMUSG00000094793	4.869685358	4.54E-53	3.526642681	8.93E-57	0.804	0.543	1.601	0.264	24.617	23.211	19.491	16.568
ENSMUSG00000078675	3.551268991	2.27E-39	4.494617053	5.95E-43	4.539	2.649	5.498	2.31	37.02	32.388	52.789	34.23
ENSMUSG00000096688	4.378363289	3.53E-38	8.12416539	1.16E-41	19.536	34.442	26.796	27.587	423	437.656	891.393	268.151
ENSMUSG00000082100	5.507479099	6.70E-36	4.281310172	2.64E-39	0.46	2.446	0.139	0.528	34.031	38.865	38.374	32.187
ENSMUSG00000004552	4.837173512	1.92E-32	4.234026312	8.81E-36	0.517	2.581	0.418	1.848	34.158	46.243	32.621	24.523
ENSMUSG00000078674	4.41162027	6.31E-30	2.017197886	3.31E-33	0.402	0.611	0.139	0.33	6.87	7.377	6.565	7.883
ENSMUSG00000096674	3.700146146	2.85E-27	7.989529279	1.69E-30	26.948	36.616	48.442	40.985	329.495	304.386	820.128	328.657
ENSMUSG00000074254	-4.626871064	5.60E-27	6.427746239	3.68E-30	142.437	179.75	69.601	299.233	5.534	8.877	3.249	7.518
ENSMUSG00000053303	-5.081922303	7.00E-25	3.294974481	5.05E-28	15.686	19.157	9.675	33.725	0.064	0.6	0.677	0.73
ENSMUSG00000039519	1.986234899	1.30E-19	6.932999667	1.03E-22	45.219	48.572	69.949	44.68	220.66	147.365	163.105	202.026
ENSMUSG00000078683	5.474336817	2.08E-17	0.731366511	1.78E-20	0	0.204	0.07	0	3.689	2.639	3.046	2.263
ENSMUSG00000038092	4.71167481	8.21E-16	6.0922432	7.54E-19	9.193	2.378	9.257	0.66	152.598	107.3	117.896	117.435
ENSMUSG00000089991	1.743107374	9.34E-15	3.816490082	9.19E-18	8.044	5.299	5.638	8.184	18.447	21.592	21.386	19.998
ENSMUSG00000073834	4.113199081	2.45E-14	9.03567236	2.58E-17	70.73	39.673	117.208	17.159	674.192	504.052	1592.475	956.775
ENSMUSG00000038576	1.994021624	1.62E-12	4.074921868	1.81E-15	5.171	10.462	7.308	5.742	19.91	19.973	28.019	32.771
ENSMUSG00000022505	-1.335737679	2.77E-10	4.540829035	3.27E-13	39.129	34.374	34.592	32.405	8.651	12.235	14.009	14.524
ENSMUSG00000040017	1.186261737	3.67E-10	8.393982229	4.57E-13	231.956	226.352	187.505	224.722	439.093	428.78	506.776	390.33
ENSMUSG00000078686	3.621983783	7.13E-10	4.066533135	9.35E-13	1.494	3.261	3.202	2.64	16.538	13.315	74.446	12.773
ENSMUSG00000066071	1.381515999	2.79E-09	6.859110974	3.84E-12	52.459	84.236	78.092	58.342	180.268	130.571	133.597	185.312
ENSMUSG00000032091	-2.40352073	9.31E-09	2.507642327	1.34E-11	15.111	11.073	8.074	5.412	2.417	0.96	1.286	1.898
ENSMUSG00000067225	1.363234147	1.96E-08	6.869761665	2.96E-11	64.352	65.351	58.813	87.183	161.249	110.959	183.206	176.772
ENSMUSG00000027456	-3.763848078	2.84E-08	0.309951358	4.47E-11	2.758	2.038	1.253	2.442	0.191	0.06	0.068	0.219
ENSMUSG00000038599	3.154764586	3.32E-08	3.27940272	5.45E-11	0.689	3.465	0.905	3.168	10.177	10.736	14.551	29.34
ENSMUSG00000067144	1.522095097	7.41E-08	4.844417651	1.26E-10	19.708	19.293	13.503	10.758	31.232	30.589	39.389	57.878
ENSMUSG00000033059	-1.388999823	8.10E-08	3.2784969	1.43E-10	18.099	13.451	15.521	11.682	5.534	5.218	5.211	3.941
ENSMUSG00000040584	-1.820889027	8.29E-08	3.995926252	1.52E-10	39.572	19.225	21.507	24.287	7.951	9.956	5.076	3.43
ENSMUSG00000025203	-1.443641378	9.87E-08	5.118706843	1.88E-10	78.774	44.903	58.813	33.593	12.913	21.412	19.83	16.13
ENSMUSG00000027907	-1.073275612	1.30E-07	4.204405453	2.55E-10	30.97	24.66	26.796	22.835	10.877	11.276	10.355	11.897
ENSMUSG00000035202	-2.943207689	3.63E-07	8.906759297	7.38E-10	1195.979	905.474	429.229	1072.329	152.598	105.441	17.123	138.966
ENSMUSG00000104785	5.456674163	4.99E-07	-0.658991689	1.05E-09	0	0	0.07	0	0.891	1.14	1.489	0.365
ENSMUSG00000079507	-1.593043866	5.15E-07	4.700876022	1.11E-09	52.516	36.887	26.17	48.772	9.987	20.332	10.016	8.539
ENSMUSG00000021208	-1.151257039	6.64E-07	5.862794781	1.48E-09	93.139	74.522	70.367	100.118	31.741	47.022	26.395	31.238
ENSMUSG00000056978	-2.13295822	6.73E-07	5.310271232	1.55E-09	51.654	53.531	34.383	128.167	11.132	21.412	14.28	8.977
ENSMUSG00000032357	-1.699727637	6.82E-07	2.476479204	1.61E-09	9.768	7.88	11.484	6.006	1.972	2.459	2.301	2.846
ENSMUSG00000066153	1.705971684	6.99E-07	7.625409722	1.70E-09	57.745	163.106	76.491	96.158	286.432	201.465	256.84	385.951
ENSMUSG00000085867	1.287913597	6.99E-07	2.997869144	1.74E-09	4.999	5.231	4.385	4.818	9.096	10.616	12.047	10.51
ENSMUSG00000035836	1.000695726	7.41E-07	8.184608891	1.90E-09	234.886	187.358	227.317	173.904	405.062	350.329	328.105	377.995
ENSMUSG00000091780	1.406092606	8.05E-07	3.845977236	2.11E-09	6.48	7.312	7.71	11.408	18.013	17.252	17.766	24.912
ENSMUSG00000025453	1.909417453	9.24E-07	3.679527646	2.49E-09	5.917	5.075	6.63	5.035	30.218	22.283	7.382	16.107
ENSMUSG00000041567	1.556135953	1.01E-06	4.157882237	2.77E-09	14.939	5.163	11.415	6.798	22.963	25.79	29.643	21.823
ENSMUSG00000037031	-1.621296171	1.60E-06	3.002130196	4.52E-09	17.984	14.673	10.301	7.722	3.18	4.438	2.707	4.16
ENSMUSG00000039092	3.735209163	2.25E-06	-0.493230139	6.48E-09	0	0.204	0.07	0.066	1.336	1.02	1.015	0.876
ENSMUSG00000030789	-1.546013731	3.53E-06	2.912424166	1.07E-08	14.364	12.568	9.257	10.494	2.544	4.258	5.144	2.263
ENSMUSG00000034463	-1.531778545	3.53E-06	2.842530833	1.06E-08	15.743	7.676	10.092	10.626	2.926	3.719	2.978	3.941
ENSMUSG00000041737	-2.083380895	4.74E-06	1.748340313	1.46E-08	6.435	6.861	3.689	5.016	1.399	1.739	0.474	0.949
ENSMUSG00000032310	0.968954887	5.90E-06	8.41889726	1.86E-08	210.812	282.871	219.939	265.442	462.883	428.3	385.361	431.275
ENSMUSG00000030378	1.055293109	6.19E-06	8.706371844	1.99E-08	313.144	236.134	360.742	240.825	597.734	576.085	539.939	421.057
ENSMUSG00000035186	-2.553625594	1.24E-05	4.224085788	4.07E-08	81.302	13.654	15.103	25.409	5.28	6.358	2.436	6.131
ENSMUSG00000020000	4.697595247	1.54E-05	2.602893991	5.15E-08	1.207	0	0.626	0.066	2.035	3.419	11.37	26.421
ENSMUSG00000078687	3.447385551	1.78E-05	-0.338413316	6.09E-08	0	0.136	0.278	0.066	0.954	0.9	1.692	1.241
ENSMUSG00000031004	-1.203205351	1.93E-05	4.032177807	6.85E-08	35.336	24.252	17.957	18.875	6.997	9.716	9.746	10.51
ENSMUSG00000045775	-1.322556587	1.93E-05	3.971309881	6.80E-08	32.061	17.051	24.43	20.657	11.068	10.676	6.429	5.401
ENSMUSG00000022129	4.182758618	2.41E-05	-0.443940576	8.69E-08	0.172	0	0	0.066	1.081	0.36	1.624	1.533
ENSMUSG00000049404	1.172625197	2.44E-05	4.859541774	8.95E-08	29.016	12.296	17.679	16.565	30.787	41.504	37.494	41.383
ENSMUSG00000022010	1.058986863	2.52E-05	5.337863191	9.41E-08	28.556	33.219	27.075	22.571	65.008	61.717	49.541	30.8
ENSMUSG00000021322	-2.084656435	2.69E-05	2.740689452	1.02E-07	9.48	22.35	5.986	7.458	2.481	1.439	2.03	3.357
ENSMUSG00000049721	-1.982005865	3.37E-05	1.048762395	1.31E-07	2.758	4.348	3.062	2.838	0.636	0.72	0.744	0.803
ENSMUSG00000031765	2.75041396	3.47E-05	6.378318752	1.36E-07	32.981	15.692	25.544	17.357	217.67	16.134	225.302	86.051
ENSMUSG00000041698	1.52002438	3.49E-05	8.270568157	1.40E-07	152.607	193.54	265.806	70.089	448.826	335.694	467.726	469.009
ENSMUSG00000008845	2.586632541	4.19E-05	3.577882511	1.71E-07	0.747	5.163	1.81	6.468	16.475	10.976	17.461	31.165
ENSMUSG00000067656	-3.098528521	4.30E-05	2.750579349	1.78E-07	4.941	10.53	3.062	29.963	1.081	1.919	1.692	0.511
ENSMUSG00000004038	-1.582373136	4.51E-05	5.547796328	1.93E-07	151.516	49.387	52.27	46.924	23.026	27.83	17.055	20.29
ENSMUSG00000024610	-1.103662794	4.51E-05	7.108515454	1.94E-07	299.756	170.443	187.992	145.459	65.008	77.851	106.594	80.723
ENSMUSG00000078597	1.341518282	4.51E-05	5.416219082	1.95E-07	35.566	26.358	31.042	10.494	62.337	59.678	45.074	63.133
ENSMUSG00000090306	1.000913106	4.53E-05	4.979966629	1.99E-07	22.696	19.972	19.975	25.871	40.901	28.01	48.39	40.58
ENSMUSG00000026879	-1.156519951	5.79E-05	6.076770498	2.58E-07	116.524	58.898	101.061	115.43	40.519	39.705	50.624	27.151
ENSMUSG00000054793	2.863658035	5.83E-05	0.401511911	2.64E-07	0.23	0.476	0.487	0.066	2.544	0.84	2.301	2.482
ENSMUSG00000022098	0.745232332	5.96E-05	5.806306755	2.74E-07	41.082	45.583	47.189	42.964	68.889	60.397	74.379	60.36
ENSMUSG00000028240	-1.339331595	6.01E-05	6.726529649	2.92E-07	220.637	183.146	171.218	75.897	50.887	71.553	70.386	34.814
ENSMUSG00000031451	-0.870227767	6.01E-05	5.939042549	2.90E-07	87.967	84.101	65.355	97.214	34.667	46.003	47.172	35.836
ENSMUSG00000052562	0.785495214	6.01E-05	6.204698624	2.88E-07	49.643	64.808	54.706	59.794	84.473	85.048	86.29	95.247
ENSMUSG00000074115	1.731211914	6.01E-05	6.378637616	2.92E-07	43.898	52.036	34.174	33.989	112.334	43.004	225.572	99.918
ENSMUSG00000037712	0.898360148	6.39E-05	6.882492953	3.14E-07	80.67	81.655	86.862	98.336	138.413	121.814	186.928	131.667
ENSMUSG00000026768	-1.188034422	7.26E-05	5.505631415	3.62E-07	95.479	37.424	80.105	54.25	23.09	30.524	29.088	21.811
ENSMUSG00000049539	-1.646594847	7.28E-05	1.607579576	3.68E-07	5.229	5.774	4.176	3.498	1.59	1.619	1.015	1.022
ENSMUSG00000069310	-3.988333674	8.81E-05	-1.005131319	4.51E-07	0.747	0.679	0.696	0.726	0.064	0	0.068	0
ENSMUSG00000030800	-1.070096608	8.87E-05	3.992614603	4.66E-07	30.395	24.911	22.808	13.266	9.541	10.616	8.731	9.488
ENSMUSG00000075015	7.160873499	8.87E-05	4.601856074	4.64E-07	0.287	0.136	0.487	0.462	179.568	0.48	1.489	0.73
ENSMUSG00000055782	-0.916656056	9.64E-05	6.744075083	5.12E-07	150.826	145.172	107.742	186.905	61.319	78.151	70.386	69.994
ENSMUSG00000060586	-1.120233609	9.93E-05	5.019057755	5.34E-07	67.685	41.099	45.38	34.451	14.058	19.553	27.748	15.546
ENSMUSG00000031762	2.968015584	0.000103264	2.716721506	5.62E-07	2.183	1.223	1.81	1.056	8.713	1.08	24.684	9.039
ENSMUSG00000087579	1.255879072	0.000113518	6.828616956	6.26E-07	73.104	63.667	42.583	102.591	187.963	181.601	142.276	96.17
ENSMUSG00000040675	-2.037521522	0.000122176	2.104593799	6.81E-07	10.285	6.25	9.257	2.64	2.035	2.039	1.354	0.657
ENSMUSG00000029833	-0.841039108	0.00015022	4.971511249	8.48E-07	47.46	37.974	37.654	46.528	22.581	26.39	19.085	16.641
ENSMUSG00000026475	-1.081967116	0.00016674	6.277377349	9.52E-07	101.014	142.745	72.664	128.986	32.023	55.449	46.266	53.488
ENSMUSG00000022769	1.161212671	0.000168903	4.168780877	9.75E-07	9.998	11.073	7.865	17.489	21.309	21.292	24.567	25.91
ENSMUSG00000026547	-0.920106293	0.000193115	4.134614236	1.13E-06	31.659	21.738	24.5	19.073	12.149	9.836	12.859	10.583
ENSMUSG00000022136	0.776505148	0.000194738	8.323783146	1.16E-06	244.769	227.235	271.374	255.213	405.062	399.571	386.579	337.488
ENSMUSG00000047139	-1.086667624	0.000194738	3.785582615	1.16E-06	26.43	13.587	19.21	19.337	8.778	8.997	9.407	5.839
ENSMUSG00000015340	-0.937012475	0.000205184	5.689878415	1.24E-06	93.426	92.592	48.025	55.306	32.441	31.488	36.952	32.333
ENSMUSG00000026688	-1.237861633	0.000226141	3.38006056	1.38E-06	13.905	14.741	9.953	21.977	6.488	5.218	5.617	5.693
ENSMUSG00000044071	-2.367345343	0.000226496	0.817843343	1.40E-06	2.586	2.649	1.949	4.158	0.127	0.36	0.677	0.803
ENSMUSG00000023031	1.716427938	0.000244466	2.742606946	1.52E-06	3.735	3.6	2.923	2.838	7.124	5.098	18.679	7.372
ENSMUSG00000052160	-1.184558723	0.00028619	3.150312581	1.80E-06	11.492	18.817	10.162	11.154	3.88	5.518	5.076	5.62
ENSMUSG00000030278	-1.410822443	0.000294566	4.74159303	1.87E-06	57.86	42.662	26.866	37.355	21.436	18.053	7.174	8.466
ENSMUSG00000019189	-0.923644275	0.000325008	4.434864839	2.11E-06	34.647	28.532	36.749	19.931	12.34	16.554	15.363	11.824
ENSMUSG00000078688	1.930362009	0.000325008	1.210904482	2.11E-06	1.207	0.679	1.392	0.594	4.262	4.258	2.91	1.825
ENSMUSG00000075318	-2.754853485	0.000370782	1.509155601	2.43E-06	8.389	1.223	8.631	1.584	0.636	0.54	0.812	0.584
ENSMUSG00000000628	-1.272450664	0.000432868	2.668885747	2.87E-06	8.734	13.587	8.561	6.6	2.862	3.239	4.467	3.138
ENSMUSG00000036594	-1.030801767	0.00047062	5.514853597	3.15E-06	95.38	51.833	64.659	49.036	21.563	27.29	40.539	23.793
ENSMUSG00000024118	0.920268442	0.000485477	5.271321814	3.29E-06	21.834	30.57	37.793	22.769	41.664	41.025	53.331	53.572
ENSMUSG00000031327	1.353853454	0.000485477	2.040117921	3.32E-06	2.471	2.921	2.227	1.98	5.025	4.558	5.076	7.08
ENSMUSG00000057465	1.907640338	0.000485477	5.628212975	3.34E-06	23.902	22.825	20.184	21.317	57.821	17.753	157.488	60.287
ENSMUSG00000037780	0.706488237	0.000501484	6.7030594	3.49E-06	76.533	89.807	78.51	89.823	133.833	124.693	129.604	99.991
ENSMUSG00000028278	-1.74153533	0.000510766	3.179992509	3.59E-06	29.591	6.454	13.015	9.372	3.117	5.338	3.925	3.065
ENSMUSG00000085609	6.15991805	0.000514234	-1.314683473	3.64E-06	0	0	0	0	0.824	0.609	0	0.72
ENSMUSG00000032690	-1.366557048	0.000548072	1.964910287	3.96E-06	6.895	5.231	5.081	5.676	1.463	1.979	1.895	2.555
ENSMUSG00000075602	-1.178686151	0.000548072	3.936149079	3.96E-06	29.533	16.168	21.367	21.977	4.962	10.736	7.783	11.459
ENSMUSG00000037902	-1.235504351	0.000571593	6.01203142	4.16E-06	84.118	182.739	63.963	57.682	34.158	38.506	35.937	36.201
ENSMUSG00000018920	-0.862702742	0.00060058	4.252606128	4.41E-06	29.143	33.371	21	20.622	13.986	12.232	13.71	10.758
ENSMUSG00000028597	-2.040986054	0.000716614	0.608806554	5.31E-06	3.16	1.698	2.436	2.046	0.636	0.66	0.541	0.146
ENSMUSG00000022035	0.664620081	0.000800411	5.148999893	5.99E-06	29.016	29.958	31.808	25.409	44.208	44.923	37.697	37.077
ENSMUSG00000045328	-1.720645961	0.000840508	1.097282148	6.40E-06	4.079	4.008	2.018	2.838	0.763	1.08	0.812	0.803
ENSMUSG00000063354	-1.834485386	0.000840508	4.102738414	6.37E-06	61.135	15.013	28.397	9.768	7.824	9.656	4.737	5.912
ENSMUSG00000036872	-2.620881705	0.000914593	0.667552749	7.06E-06	4.712	0.951	2.993	1.716	0.636	0.54	0.135	0.146
ENSMUSG00000038843	-1.528459999	0.000914593	1.613798389	7.11E-06	4.482	6.25	3.55	4.092	1.654	1.14	1.963	0.876
ENSMUSG00000079293	-1.058655242	0.000914593	4.16148722	7.14E-06	39.761	18.206	23.804	20.327	12.658	11.576	11.641	7.664
ENSMUSG00000034785	0.860977324	0.000930297	6.905812757	7.32E-06	59.526	107.741	88.88	102.89	151.708	167.277	137.726	127.799
ENSMUSG00000036905	-0.904807669	0.000971405	6.034934991	7.71E-06	80.958	140.213	69.253	73.653	37.911	40.005	46.495	47.076
ENSMUSG00000011034	-1.287467978	0.001154184	2.641414006	9.24E-06	8.331	10.19	6.125	11.814	4.071	4.318	2.775	2.19
ENSMUSG00000072082	0.896764335	0.001162557	3.376295651	9.38E-06	7.125	8.356	7.03	7.92	13.93	10.436	13.874	12.189
ENSMUSG00000051483	-0.673238099	0.001248866	5.238137679	1.02E-05	46.541	45.99	48.025	54.646	26.143	27.83	27.816	27.516
ENSMUSG00000028843	-0.966561737	0.001303203	4.169842925	1.07E-05	25.971	30.16	26.654	17.883	8.333	9.832	16.243	11.165
ENSMUSG00000000031	-3.860505956	0.001322858	4.190921663	1.09E-05	100.838	1.019	18.653	24.353	0.827	6.058	1.354	0.657
ENSMUSG00000097312	6.019248489	0.001339893	5.871398224	1.12E-05	1.33	2.192	3.341	0.678	430.685	1.32	3.576	1.314
ENSMUSG00000033192	-1.119163467	0.00156529	2.475693103	1.31E-05	9.305	9.375	7.378	5.544	3.753	2.939	3.316	2.846
ENSMUSG00000020810	-0.99278341	0.001605548	4.416366104	1.36E-05	43.036	20.516	35.426	21.179	13.93	13.546	15.701	10.437
ENSMUSG00000057969	-1.427038336	0.001644021	1.904655407	1.40E-05	7.872	4.348	4.872	5.082	2.481	2.219	1.218	1.387
ENSMUSG00000036887	-0.765694048	0.00180904	6.049431093	1.56E-05	88.657	117.999	72.455	75.501	40.964	39.525	53.128	50.579
ENSMUSG00000068245	-1.027670134	0.00180904	3.094540364	1.57E-05	15.284	9.103	12.528	10.824	4.007	6.298	5.956	4.598
ENSMUSG00000043760	-0.872391744	0.001814641	4.681106606	1.58E-05	43.955	23.233	38.417	34.055	14.312	21.825	16.311	15.692
ENSMUSG00000068086	0.826228102	0.001873196	9.396004777	1.65E-05	440.987	640.673	427.141	549.496	851.28	711.934	825.61	854.011
ENSMUSG00000020123	1.469028081	0.001889877	5.449941182	1.69E-05	14.307	34.238	18.444	30.755	40.964	28.309	93.735	76.927
ENSMUSG00000026043	-0.956238155	0.001889877	6.572745029	1.68E-05	193.655	93.883	135.951	110.282	71.27	62.197	72.822	38.829
ENSMUSG00000039385	-2.119278654	0.001916266	0.374160702	1.72E-05	2.298	2.785	2.018	0.858	0.445	0.24	0.474	0.438
ENSMUSG00000036083	0.67575855	0.001929258	6.009754124	1.76E-05	53.263	58.218	42.317	56.098	65.008	75.152	75.529	82.328
ENSMUSG00000075014	5.569273954	0.001929258	5.421043388	1.75E-05	2.068	1.495	2.227	1.65	312.766	0.96	3.249	0.803
ENSMUSG00000038257	-1.884205845	0.001938884	1.821033597	1.78E-05	4.367	5.638	9.744	2.904	1.209	0.96	0.744	2.482
ENSMUSG00000022615	0.93736317	0.002006332	5.419166304	1.86E-05	28.43	33.092	25.081	37.107	52.797	32.302	69.24	56.427
ENSMUSG00000026355	-1.163644057	0.002006332	3.269097953	1.87E-05	17.467	14.877	12.876	10.692	4.962	8.457	6.091	2.7
ENSMUSG00000017929	-0.906643572	0.002041066	5.277904718	1.92E-05	72.569	39.605	56.238	45.736	20.8	22.731	23.417	33.939
ENSMUSG00000028059	-0.910497727	0.002041078	3.547931668	1.94E-05	17.525	21.738	13.711	11.418	7.506	7.857	6.836	8.028
ENSMUSG00000073489	-0.632591006	0.002041078	4.720057998	1.93E-05	34.992	36.14	32.016	32.075	16.793	19.973	20.777	19.998
ENSMUSG00000024030	-0.741466185	0.002069702	4.588092472	1.99E-05	31.027	40.624	27.353	28.247	15.584	15.234	17.123	19.414
ENSMUSG00000032908	-2.475951171	0.002069702	-0.086853176	2.00E-05	1.609	0.679	2.018	1.386	0.405	0.18	0.068	0.234
ENSMUSG00000042041	-0.661395393	0.002084129	5.324045184	2.02E-05	57.802	47.553	45.589	56.032	29.705	26.57	30.794	29.486
ENSMUSG00000027469	-1.482753057	0.002159865	1.940908195	2.13E-05	9.251	4.28	5.29	4.224	1.272	2.039	1.489	2.482
ENSMUSG00000095280	5.841161983	0.002159865	3.767583457	2.12E-05	0.632	0.204	0.905	0.198	99.421	0.24	0.88	0.292
ENSMUSG00000020873	0.691289652	0.002167074	5.641149351	2.16E-05	33.842	41.643	41.621	43.822	51.714	51.701	62.873	65.104
ENSMUSG00000048368	0.899194521	0.002167074	3.72793758	2.18E-05	13.847	8.627	8.213	8.316	19.274	14.635	14.28	16.349
ENSMUSG00000073421	-0.959924863	0.002167074	6.224717249	2.19E-05	161.743	82.266	94.588	82.035	36.448	48.042	67.137	39.996
ENSMUSG00000110439	1.774962907	0.002167074	0.483445756	2.18E-05	0.575	0.747	0.418	0.726	1.781	1.559	1.827	2.409
ENSMUSG00000034634	-1.518333598	0.002175277	4.207812944	2.22E-05	39.071	31.996	9.187	34.979	14.058	9.896	6.226	5.693
ENSMUSG00000038642	-0.75025482	0.002175277	6.181680991	2.23E-05	121.12	99.793	85.47	80.715	42.427	43.124	63.821	54.01
ENSMUSG00000058715	-1.240422222	0.002175277	3.758214943	2.24E-05	13.962	37.499	13.572	15.377	7.379	6.238	7.918	8.393
ENSMUSG00000060807	-0.766869058	0.002256635	8.28601396	2.34E-05	489.021	348.359	388.582	438.092	205.457	285.013	205.878	179.181
ENSMUSG00000047501	-2.78605971	0.002418963	-0.45571508	2.52E-05	1.379	0.476	1.253	1.188	0.127	0.12	0	0.292
ENSMUSG00000034227	-1.93681206	0.002500098	1.10133085	2.62E-05	4.941	1.223	3.689	3.432	0.572	0.78	1.151	0.584
ENSMUSG00000021696	-2.093259102	0.002665335	1.099007235	2.82E-05	6.837	2.717	1.81	2.244	1.081	0.42	0.406	0.876
ENSMUSG00000035493	-0.732684447	0.002715891	6.070836338	2.89E-05	113.938	66.71	102.244	72.927	44.972	50.141	50.624	44.595
ENSMUSG00000028838	1.590318594	0.002725883	2.108618876	2.92E-05	1.609	4.619	0.974	1.782	6.997	6.777	4.805	5.328
ENSMUSG00000024672	-1.504503869	0.002769445	2.208786977	2.98E-05	7.699	12.16	4.663	3.828	1.781	1.739	3.046	2.19
ENSMUSG00000026574	-1.340841503	0.002992152	4.189416775	3.24E-05	43.093	12.771	36.401	18.083	9.351	11.816	12.047	5.62
ENSMUSG00000001493	-2.398834183	0.003011499	0.085462194	3.28E-05	2.643	0.883	1.949	0.99	0.064	0.24	0.406	0.365
ENSMUSG00000020099	-1.249019683	0.003096562	4.149235708	3.39E-05	41.14	21.874	29.163	13.793	10.114	15.834	7.783	5.839
ENSMUSG00000042249	-0.942764633	0.003118695	3.397712194	3.44E-05	14.02	20.855	13.155	10.362	8.078	6.897	6.091	5.766
ENSMUSG00000056025	-1.089821377	0.003292632	3.654689506	3.65E-05	24.017	10.717	24.639	12.54	6.933	8.397	6.768	7.883
ENSMUSG00000030774	-1.138625103	0.00349564	2.829290799	3.92E-05	14.135	8.967	10.579	7.062	4.198	5.578	2.504	4.087
ENSMUSG00000062061	2.383286166	0.00349564	2.156607781	3.92E-05	0.402	2.785	0.209	2.508	11.768	6.058	3.655	6.204
ENSMUSG00000012350	-1.165037841	0.00353713	2.857561942	3.99E-05	14.767	5.503	10.858	10.362	4.516	4.558	3.925	3.503
ENSMUSG00000034855	-1.196903511	0.003634296	1.980674605	4.13E-05	7.01	6.111	5.15	4.224	1.781	2.097	2.842	1.971
ENSMUSG00000059060	-2.063778556	0.003647259	3.500961777	4.16E-05	7.182	25.814	4.524	37.553	4.071	6.298	2.91	3.065
ENSMUSG00000021228	-2.15918268	0.003663003	3.775084385	4.23E-05	12.578	24.081	8.004	47.183	9.096	6	1.973	1.752
ENSMUSG00000031938	0.690118839	0.003663003	6.303838786	4.23E-05	68.087	53.259	57.56	75.897	89.116	109.459	93.532	76.708
ENSMUSG00000033350	-1.072308079	0.003867864	2.275413461	4.52E-05	6.665	7.948	7.447	5.016	2.544	2.939	2.775	3.138
ENSMUSG00000039899	-0.853232694	0.003867864	3.481115251	4.49E-05	16.433	18.274	13.155	12.54	7.251	6.358	9.61	6.423
ENSMUSG00000076431	-1.225966102	0.004151201	2.561249114	4.88E-05	11.951	6.636	6.926	8.6	5.112	2.859	2.788	2.207
ENSMUSG00000031709	-1.050776189	0.00420647	2.467558999	5.02E-05	7.872	10.392	6.403	6.27	3.938	3.179	3.316	2.773
ENSMUSG00000039131	-1.853467809	0.00420647	1.438047949	4.98E-05	6.32	5.435	2.923	2.376	1.717	1.499	0.541	0.365
ENSMUSG00000066154	0.98917211	0.00420647	11.9629233	5.00E-05	2154.313	3718.972	2279.361	3165.904	5054.757	4167.662	4770.521	5944.867
ENSMUSG00000022021	-2.245125996	0.004212056	0.037297375	5.14E-05	2.298	0.679	1.879	1.254	0.191	0.3	0.203	0.438
ENSMUSG00000040170	-1.146738939	0.004212056	4.908839975	5.13E-05	59.526	24.456	42.457	47.584	19.337	14.635	26.936	9.561
ENSMUSG00000042379	-1.430723055	0.004212056	2.701385901	5.11E-05	11.089	7.744	15.312	5.28	1.59	3.359	4.873	3.138
ENSMUSG00000045763	-1.364331954	0.004212056	2.34759395	5.07E-05	7.929	12.703	5.359	4.488	2.799	1.739	2.842	2.992
ENSMUSG00000033685	-1.012314741	0.004413815	5.40778485	5.42E-05	43.553	92.728	36.749	66.922	20.29	25.61	27.338	32.183
ENSMUSG00000004730	-1.786505937	0.004442473	5.091791366	5.52E-05	25.281	145.24	21.019	35.243	13.294	13.015	14.077	16.933
ENSMUSG00000030921	-0.744034726	0.004442473	4.316430304	5.54E-05	31.372	23.776	24.152	25.739	12.722	17.154	11.032	14.889
ENSMUSG00000034858	0.647949714	0.004442473	6.494707596	5.53E-05	63.548	80.161	71.828	81.111	95.732	104.481	95.968	117.727
ENSMUSG00000029822	-0.967411677	0.004530976	5.409804623	5.71E-05	84.52	43.749	62.989	47.32	32.568	36.886	16.04	23.064
ENSMUSG00000037942	0.634536936	0.004530976	7.208274492	5.69E-05	115.547	125.2	123.89	125.461	194.453	150.544	188.755	145.023
ENSMUSG00000053886	-0.943863624	0.004576474	3.445644439	5.80E-05	17.525	10.53	14.755	16.895	7.506	7.377	8.324	4.598
ENSMUSG00000041650	0.696705113	0.004579598	4.599687184	5.83E-05	18.04	18.871	20.61	20.405	31.782	30.136	31.243	19.892
ENSMUSG00000032246	-1.395372712	0.004637362	2.617915332	5.93E-05	10.4	8.152	4.037	13.859	2.735	4.498	2.504	2.7
ENSMUSG00000022831	-1.062690929	0.004764808	3.954971915	6.13E-05	15.169	38.925	15.243	19.271	8.905	8.817	10.422	9.342
ENSMUSG00000012428	0.827401182	0.00492051	8.35582707	6.36E-05	298.607	228.254	264.901	211.852	442.083	253.945	478.69	400.402
