ID	Log2FC	FDR	AveExpr	P value	MUP-uPA CPM 1	MUP-uPA CPM 2	MUP-uPA CPM 3	MUP-uPA CPM 4	MuP-uPA/sgp130_BGP-15_CPM 1	MuP-uPA/sgp130_BGP-15_CPM 2	MuP-uPA/sgp130_BGP-15_CPM 3	MuP-uPA/sgp130_BGP-15_CPM 4
ENSMUSG00000082100	5.92204018	5.67E-75	4.21950047	3.72E-79	0.071	1.084	0.211	1.017	35.528	35.739	34.767	34.149
ENSMUSG00000004552	4.698155626	3.64E-63	3.748371461	4.77E-67	0.858	0.702	0.984	1.56	29.843	26.33	21.66	21.213
ENSMUSG00000094793	5.177677713	1.42E-50	3.834855444	2.79E-54	0.214	1.02	0.773	1.085	19.896	29.911	34.288	21.7
ENSMUSG00000078674	5.095996063	1.12E-38	3.58629633	2.94E-42	1.43	0.893	0.281	0.203	18.08	23.592	29.892	17.318
ENSMUSG00000030278	-2.576532422	7.10E-31	4.650958032	2.33E-34	53.189	41.519	41.747	41.709	9	4.704	6.554	7.233
ENSMUSG00000074254	-5.169890064	1.87E-28	5.483676091	7.38E-32	63.126	92.54	38.655	155.442	3.711	2.177	1.279	2.087
ENSMUSG00000078675	4.82430541	2.19E-24	5.370598476	1.01E-27	1.644	3.635	1.054	4.951	40.581	88.96	104.781	70.246
ENSMUSG00000073830	3.734100868	1.51E-23	8.291847565	7.92E-27	49.829	52.425	18.695	57.511	439.205	485.805	722.598	579.774
ENSMUSG00000089991	1.989100936	2.33E-23	3.97248719	1.37E-26	7.078	5.995	7.169	6.036	23.291	25.768	22.619	23.995
ENSMUSG00000079507	-2.391758073	4.55E-21	4.910873496	2.98E-24	35.817	55.677	61.074	55.544	11.685	6.319	8.712	10.015
ENSMUSG00000039519	2.474118583	1.49E-20	7.390014675	1.07E-23	72.991	50.767	32.259	55.883	243.011	257.682	310.187	277.02
ENSMUSG00000078683	5.150711032	8.59E-20	1.676250994	6.76E-23	0.143	0.064	0.281	0.203	3.869	4.915	9.351	5.147
ENSMUSG00000034634	-3.544737049	3.00E-19	4.534531011	2.56E-22	66.128	17.092	72.601	27.535	4.105	3.37	2.238	4.173
ENSMUSG00000008734	-2.391464183	8.70E-16	3.430554593	7.99E-19	15.566	20.77	17.489	19.603	5.02	2.879	2.078	3.058
ENSMUSG00000030137	-2.126487174	3.24E-15	3.224345584	3.19E-18	16.8	10.396	21.155	14.717	3.079	3.511	3.117	3.338
ENSMUSG00000038092	5.106449247	7.41E-12	6.875679341	7.78E-15	2.359	16.901	0.843	5.697	204.009	256.138	227.146	187.161
ENSMUSG00000108884	2.100430365	1.44E-11	3.368225436	1.60E-14	5.791	2.551	5.763	2.441	20.606	13.972	14.626	14.675
ENSMUSG00000068220	-1.332285488	1.90E-11	5.155609419	2.25E-14	53.761	47.769	54.398	55.68	22.896	17.764	20.381	16.344
ENSMUSG00000096688	4.555961971	4.02E-11	9.306019415	5.02E-14	31.885	100.002	7.028	64.903	900.673	1064.572	1731.485	936.291
ENSMUSG00000053303	-4.228427204	6.48E-11	1.463533466	8.51E-14	2.288	7.717	4.357	5.426	0.474	0.14	0.08	0.278
ENSMUSG00000067656	-4.023101623	7.11E-11	2.095041902	9.80E-14	2.288	10.268	7.661	10.987	0.553	0.702	0.32	0.209
ENSMUSG00000031451	-1.270839979	9.41E-11	5.940271353	1.36E-13	94.01	74.683	115.613	80.434	34.423	31.315	31.33	40.548
ENSMUSG00000040584	-1.921605093	6.41E-10	3.541865229	9.67E-13	22.948	13.712	26.987	13.496	6.632	2.949	4.156	4.66
ENSMUSG00000031327	2.026149803	6.58E-10	2.58641115	1.04E-12	2.574	2.168	2.46	2.509	6.395	10.672	10.23	9.042
ENSMUSG00000030827	-1.804773128	6.80E-10	3.927535867	1.16E-12	20.303	18.878	33.454	25.568	7.895	6.179	7.913	3.686
ENSMUSG00000090306	1.509026771	6.80E-10	5.537201916	1.13E-12	22.09	30.549	21.295	25.229	61.345	78.498	71.692	51.259
ENSMUSG00000078688	2.762036013	8.59E-10	1.802205544	1.52E-12	1.287	0.957	0.703	0.678	6.632	6.67	6.234	3.269
ENSMUSG00000010307	-2.01491055	1.34E-09	3.261533273	2.46E-12	19.374	9.567	18.343	16.412	3.79	4.494	1.678	4.312
ENSMUSG00000078687	3.761988855	2.36E-09	0.5515364	4.50E-12	0.143	0.383	0.141	0.068	1.895	2.177	2.717	2.991
ENSMUSG00000073834	4.138838062	6.54E-09	9.848549593	1.29E-11	64.556	201.28	11.456	113.53	1659.077	1210.545	2218.546	1583.669
ENSMUSG00000011034	-1.86671462	7.94E-09	3.029751219	1.62E-11	15.442	9.12	18.906	9.834	3	2.528	3.357	4.243
ENSMUSG00000078673	4.497220773	8.42E-09	0.425122681	1.77E-11	0	0.319	0.07	0	2.842	1.615	3.277	1.53
ENSMUSG00000096674	4.224537722	1.01E-08	9.219595133	2.18E-11	34.744	115.819	6.747	81.248	687.348	1015.002	1679.854	930.797
ENSMUSG00000026688	-1.725229607	2.54E-08	3.216780201	5.67E-11	10.295	15.944	14.829	16.684	3.632	3.511	3.756	5.286
ENSMUSG00000041567	2.183369458	2.87E-08	4.437967269	6.60E-11	10.795	4.273	9.769	8.206	15.632	54.345	39.802	25.456
ENSMUSG00000060560	2.926814831	2.93E-08	1.241814199	6.91E-11	0.214	0.446	0.843	0.678	3.079	4.002	5.355	2.991
ENSMUSG00000027346	1.153800746	3.07E-08	5.676132876	7.45E-11	34.673	32.718	38.725	26.517	57.555	65.088	64.579	82.626
ENSMUSG00000027907	-1.766972971	5.24E-08	4.427461305	1.31E-10	45.396	18.559	53.062	24.551	6.474	8.987	9.671	11.893
ENSMUSG00000030483	-2.526750981	6.69E-08	1.642720139	1.71E-10	6.863	3.89	6.606	3.866	0.553	1.194	0.48	1.043
ENSMUSG00000015519	4.723973156	9.00E-08	2.568969858	2.42E-10	0.286	0.702	0	0.678	1.026	19.519	11.11	11.406
ENSMUSG00000045775	-2.312021289	9.00E-08	3.451621574	2.37E-10	27.738	14.669	16.938	15.938	5.921	1.474	1.678	4.799
ENSMUSG00000018774	-1.335572818	2.47E-07	4.524405132	6.82E-10	41.607	22.258	45.331	29.705	15.238	12.849	8.792	12.936
ENSMUSG00000029816	-1.237209211	2.89E-07	5.599589895	8.14E-10	74.85	79.658	70.211	57.511	22.58	25.277	36.286	25.873
ENSMUSG00000038576	2.44424606	2.95E-07	4.17598089	8.53E-10	3.432	9.056	2.038	7.799	22.738	20.783	35.487	37.279
ENSMUSG00000067144	1.445752744	4.11E-07	4.519086611	1.21E-09	13.798	11.799	8.223	16.684	24.949	33.211	33.808	35.888
ENSMUSG00000028664	-1.988780966	4.29E-07	2.229396748	1.29E-09	8.007	5.74	9.277	7.257	2.605	1.194	1.998	1.182
ENSMUSG00000086253	5.297374363	5.17E-07	-0.711255407	1.59E-09	0.071	0	0	0	0.947	0.772	1.359	0.696
ENSMUSG00000032091	-2.191137487	5.68E-07	1.819290619	1.79E-09	7.792	4.146	6.536	4.747	0.868	1.123	0.838	1.724
ENSMUSG00000022505	-1.145888137	6.39E-07	4.339461137	2.06E-09	25.879	27.743	34.86	27.128	10.579	11.585	10.39	15.301
ENSMUSG00000022129	3.538618711	8.17E-07	-0.02189335	2.74E-09	0	0.191	0.141	0.203	1.184	1.545	1.519	1.947
ENSMUSG00000059060	-2.15285868	8.17E-07	3.297894927	2.70E-09	7.078	19.707	14.478	22.855	4.974	3.23	2.078	3.338
ENSMUSG00000004038	-2.402693218	9.13E-07	5.944003687	3.12E-09	126.681	40.626	236.497	48.626	20.29	10.532	21.979	21.908
ENSMUSG00000035186	-3.313056279	9.44E-07	4.406920648	3.28E-09	83.929	7.526	61.285	14.988	2.211	4.564	1.918	5.981
ENSMUSG00000081207	1.619041852	1.28E-06	4.671276842	4.54E-09	6.148	16.192	13.494	15.246	32.263	39.39	44.518	30.435
ENSMUSG00000026355	-1.587729995	1.53E-06	2.97736119	5.51E-09	14.513	8.61	17.5	8.545	3.079	4.213	3.916	3.478
ENSMUSG00000025912	-2.833292718	1.70E-06	2.225393838	6.25E-09	13.726	3.635	13.353	3.391	1.816	0.562	0.799	1.043
ENSMUSG00000021208	-1.260677483	1.82E-06	5.889550336	6.82E-09	124.464	53.381	102.4	74.194	29.054	33.351	29.172	41.87
ENSMUSG00000051483	-1.058848686	1.93E-06	5.242547757	7.34E-09	51.902	42.22	72.952	47.88	23.606	21.485	20.381	28.307
ENSMUSG00000020000	7.63887668	2.40E-06	4.989704987	9.29E-09	1.358	0	0	0	1.5	25.979	128.519	82.904
ENSMUSG00000085867	1.258002418	3.72E-06	3.133991884	1.47E-08	6.506	5.102	4.92	4.815	12.948	11.375	10.47	12.171
ENSMUSG00000003849	-1.824939981	4.20E-06	2.243834348	1.68E-08	8.579	6.25	9.558	5.629	2.369	1.755	1.039	2.504
ENSMUSG00000073842	4.306225657	5.03E-06	9.526749541	2.05E-08	27.309	129.021	2.39	118.887	1235.978	1319.095	1625.745	1192.794
ENSMUSG00000062181	1.222312013	5.36E-06	8.303108526	2.22E-08	228.769	175.004	210.563	179.789	307.83	571.395	432.712	380.999
ENSMUSG00000078686	3.576439299	5.55E-06	5.609174361	2.33E-08	2.86	16.646	0.984	9.02	43.028	81.377	156.572	61.135
ENSMUSG00000027456	-4.227989651	5.95E-06	0.476655406	2.54E-08	3.074	2.487	3.514	0.678	0	0	0	0.417
ENSMUSG00000032357	-2.193373639	7.54E-06	2.600426607	3.27E-08	11.081	5.995	14.619	9.291	3.632	1.264	0.639	2.573
ENSMUSG00000023031	1.63140517	7.73E-06	2.353807667	3.45E-08	2.288	2.806	3.444	1.695	6.869	7.864	8.072	6.26
ENSMUSG00000033685	-1.101499544	7.73E-06	5.376837079	3.41E-08	48.542	54.337	58.96	72.023	22.896	25.204	21.34	31.433
ENSMUSG00000021226	-1.608319187	9.11E-06	2.900789492	4.12E-08	9.58	11.799	10.753	13.225	5.369	3.511	2.478	2.504
ENSMUSG00000099032	-2.282114529	9.57E-06	1.207711412	4.40E-08	5.219	2.934	3.163	3.514	1.105	0.632	0.559	0.487
ENSMUSG00000037263	-3.180542027	1.06E-05	0.557586877	5.00E-08	1.573	3.189	1.335	3.391	0.237	0.351	0.16	0.209
ENSMUSG00000112637	1.663764517	1.06E-05	3.186285574	5.02E-08	6.291	2.934	4.357	4.612	21.869	9.9	11.989	9.042
ENSMUSG00000001403	-3.912926106	1.14E-05	1.004494344	5.44E-08	4.861	1.85	7.59	0.543	0.395	0.14	0.24	0.07
ENSMUSG00000022340	-2.486072407	1.31E-05	1.176093836	6.35E-08	5.505	1.85	5.412	2.374	0.711	0.562	0.559	0.556
ENSMUSG00000093610	5.100121323	1.31E-05	-0.85487812	6.47E-08	0.071	0	0	0	1.5	0.772	0.48	0.556
ENSMUSG00000038132	-3.140284341	1.34E-05	0.632430512	6.70E-08	1.287	3.125	2.671	3.052	0.632	0.211	0.08	0.139
ENSMUSG00000112734	2.756730777	1.50E-05	1.586265235	7.59E-08	1.198	0.509	0.649	0.8	5.227	1.526	9.048	3.746
ENSMUSG00000032246	-1.75066222	1.94E-05	2.492250313	9.94E-08	12.654	5.804	7.38	9.427	2.842	1.685	1.758	3.269
ENSMUSG00000027624	-1.461863738	2.06E-05	3.134200107	1.07E-07	14.727	9.503	20.803	8.817	5.763	4.143	3.517	4.173
ENSMUSG00000030605	-1.293217248	2.07E-05	4.620123507	1.09E-07	42.894	24.745	58.896	22.109	12.08	13.762	12.308	16.066
ENSMUSG00000041698	1.444885968	2.41E-05	8.635578348	1.28E-07	185.231	297.711	134.94	251.067	622.845	577.995	488.499	544.443
ENSMUSG00000032358	-3.196365676	2.42E-05	1.373446704	1.30E-07	5.862	1.531	9.98	1.56	0.553	0.281	0.24	0.696
ENSMUSG00000098741	3.536745893	2.51E-05	-0.016208355	1.36E-07	0.071	0.128	0.141	0.203	1.579	2.879	0.639	1.113
ENSMUSG00000074183	-3.722402242	2.52E-05	0.823054147	1.39E-07	4.218	1.276	6.677	0.678	0.395	0.14	0.08	0.209
ENSMUSG00000091867	-2.010742388	3.11E-05	3.039586325	1.73E-07	9.008	11.416	12.299	20.278	6.237	2.247	1.918	1.947
ENSMUSG00000032231	-1.145680098	3.32E-05	5.49156071	1.87E-07	91.436	40.945	85.813	45.439	29.765	24.715	28.054	24.482
ENSMUSG00000036452	0.979258461	3.38E-05	4.534947648	1.93E-07	15.656	16.707	19.043	13.496	27.001	24.993	35.319	29.898
ENSMUSG00000000031	-6.236944913	3.51E-05	4.578375221	2.05E-07	82.857	0.255	126.858	0.882	0.474	0.281	0.879	0.696
ENSMUSG00000103560	2.103647386	3.51E-05	3.539966568	2.03E-07	10.366	2.742	2.811	2.645	10.343	17.834	27.174	16.136
ENSMUSG00000075602	-1.434752401	3.51E-05	4.242357336	2.07E-07	40.32	13.329	38.233	25.161	10.579	12.147	6.074	10.085
ENSMUSG00000087579	1.574202949	3.75E-05	6.605826545	2.24E-07	32.958	75.531	54.085	38.551	208.278	124.704	148.664	78.221
ENSMUSG00000025498	-1.116662346	3.86E-05	5.622507439	2.33E-07	91.007	51.277	81.245	60.563	27.475	42.198	21.02	28.307
ENSMUSG00000057933	-1.472311071	3.89E-05	3.066607023	2.38E-07	16.943	8.801	17.851	7.867	5.606	3.511	3.677	3.895
ENSMUSG00000030340	1.372825008	4.24E-05	2.544726268	2.61E-07	3.932	2.742	3.514	3.188	9.553	8.285	7.753	6.19
ENSMUSG00000040270	1.39432518	4.30E-05	3.45681364	2.68E-07	7.827	7.572	4.229	5.154	14.226	14.129	20.533	11.452
ENSMUSG00000036362	-1.341784271	4.58E-05	2.594661047	2.89E-07	10.366	7.462	9.418	8.071	3.474	3.721	2.318	3.199
ENSMUSG00000038642	-1.277616081	4.58E-05	6.287397534	2.92E-07	173.292	61.928	155.884	82.061	43.028	49.641	34.447	47.642
ENSMUSG00000049539	-1.725998954	5.06E-05	2.049916765	3.26E-07	7.506	5.612	7.169	5.29	2.684	1.966	0.879	1.53
ENSMUSG00000022615	1.066426066	5.51E-05	5.521190231	3.58E-07	23.732	38.674	29.407	30.102	62.962	47.463	66.926	60.316
ENSMUSG00000036896	-1.149442373	5.64E-05	4.903675612	3.70E-07	52.259	26.978	53.203	41.302	21.554	17.272	10.95	21.352
ENSMUSG00000035836	0.975596045	5.78E-05	8.488299275	3.83E-07	269.589	255.81	248.655	233.909	460.995	508.273	442.382	414.244
ENSMUSG00000023963	-0.936908304	5.98E-05	4.260180788	4.04E-07	32.671	20.919	27.058	24.212	11.843	11.655	11.429	15.023
ENSMUSG00000051225	-2.415096512	5.98E-05	1.417768557	4.01E-07	8.579	2.87	4.287	2.17	0.947	0.421	0.719	0.904
ENSMUSG00000030579	-1.350047738	5.98E-05	3.035326521	4.08E-07	15.084	7.462	15.04	11.258	5.921	4.143	3.277	4.034
ENSMUSG00000000628	-1.752008329	7.65E-05	2.264679782	5.27E-07	10.581	3.572	9.558	6.714	2.684	2.106	1.519	1.808
ENSMUSG00000022181	0.933996607	7.96E-05	7.971244738	5.57E-07	218.045	158.167	187.089	159.647	280.197	300.793	356.783	322.993
ENSMUSG00000059136	3.238773872	7.96E-05	-0.129418068	5.59E-07	0.143	0.191	0.07	0.203	2.211	1.053	1.758	0.658
ENSMUSG00000030378	1.632505833	7.97E-05	8.699570256	5.65E-07	116.886	312.635	127.912	259.613	679.452	635.078	598.315	499.443
ENSMUSG00000031844	0.876722051	8.10E-05	7.224662374	5.79E-07	106.449	113.523	119.689	99.627	163.113	201.512	182.388	194.742
ENSMUSG00000109536	0.93386666	8.94E-05	4.568898402	6.45E-07	20.061	17.247	15.673	14.68	34.468	24.805	32.845	26.851
ENSMUSG00000020312	-2.200610631	9.97E-05	2.977273548	7.26E-07	19.445	4.847	24.247	6.443	3	1.404	1.918	4.173
ENSMUSG00000063838	-1.941305418	0.000104569	3.045553364	7.69E-07	23.449	5.804	17.43	8.477	2.29	1.755	4.556	4.103
ENSMUSG00000024378	0.939358538	0.000108461	6.187506886	8.04E-07	47.827	58.611	50.884	49.305	87.083	76.041	114.852	88.051
ENSMUSG00000020218	4.773637387	0.000108613	-0.54664506	8.13E-07	0.071	0	0.07	0	0.158	0.632	2.078	1.391
ENSMUSG00000096929	0.90808913	0.00011127	4.028383695	8.40E-07	13.488	9.897	12.114	11.662	23.208	17.915	19.924	20.119
ENSMUSG00000052131	-4.60291261	0.000111778	0.02866283	8.53E-07	3.074	0.255	3.233	0.543	0.079	0	0	0.139
ENSMUSG00000067879	-6.258534203	0.000111778	-0.99911682	8.58E-07	0.858	0.68	1.195	0.136	0	0	0	0
ENSMUSG00000028655	-1.427899541	0.00011183	5.399766395	8.66E-07	70.99	59.759	35.211	85.724	17.922	14.675	22.539	32.063
ENSMUSG00000006398	-2.981523164	0.00012952	1.571959343	1.01E-06	4.361	2.36	13.705	1.221	0.632	0.772	0.32	0.626
ENSMUSG00000006519	-1.381256244	0.000138551	3.157652904	1.09E-06	15.942	7.271	20.522	10.376	4.421	4.634	3.677	5.842
ENSMUSG00000071669	1.07611249	0.000155687	3.080159507	1.24E-06	5.219	5.485	6.255	5.426	9.948	10.743	11.989	10.711
ENSMUSG00000019577	-0.979349565	0.000160828	4.723300038	1.29E-06	43.823	38.266	27.831	34.452	17.211	15.447	20.061	14.953
ENSMUSG00000026956	-1.065785499	0.000160828	3.277188668	1.31E-06	14.727	10.141	17.359	12.207	6.474	6.6	4.636	5.912
ENSMUSG00000030945	2.398332716	0.000160828	0.20433014	1.30E-06	0.429	0.319	0.351	0.271	1.895	1.053	2.078	1.739
ENSMUSG00000049721	-2.463658506	0.000160828	0.772646358	1.32E-06	1.501	3.572	3.584	2.102	0.632	0.281	0.24	0.626
ENSMUSG00000024610	-1.430762997	0.000169483	7.181038364	1.40E-06	270.662	100.768	376.567	163.919	52.345	81.518	66.737	99.875
ENSMUSG00000079293	-1.341392561	0.000170785	4.301659333	1.42E-06	33.743	16.454	49.056	21.092	10.422	15.517	8.152	8.346
ENSMUSG00000034450	0.909154142	0.000186245	8.001766945	1.56E-06	171.29	185.4	209.649	176.127	353.464	274.463	359.341	294.269
ENSMUSG00000012350	-1.755878367	0.000196211	3.662058726	1.66E-06	27.738	7.334	38.233	10.58	6.079	5.757	4.236	5.773
ENSMUSG00000031767	1.188595563	0.000225115	8.647666765	1.92E-06	199.029	328.452	252.169	228.348	409.835	683.666	570.661	470.024
ENSMUSG00000028427	-2.346824136	0.000228259	0.619506606	1.96E-06	2.86	1.594	2.108	2.984	0.395	0.281	0.24	0.765
ENSMUSG00000030342	-0.926164048	0.00023012	5.208921888	1.99E-06	54.261	41.136	61.426	46.251	19.185	30.402	19.022	28.724
ENSMUSG00000054263	1.138799361	0.000257141	8.521411624	2.24E-06	238.92	236.166	255.051	226.585	337.2	707.749	500.887	388.858
ENSMUSG00000027035	-1.087015022	0.000258201	4.851296462	2.30E-06	63.555	27.743	38.022	35.537	23.527	15.517	14.067	17.527
ENSMUSG00000032348	-0.958326195	0.000258201	5.742992024	2.30E-06	77.853	66.137	94.81	58.257	45.476	33.281	22.778	38.114
ENSMUSG00000072294	0.999928951	0.000258201	4.008471827	2.30E-06	12.082	9.822	11.104	11.461	21.001	25.698	20.94	14.119
ENSMUSG00000054453	-1.527668797	0.000261516	2.440411053	2.35E-06	7.649	5.995	12.018	7.324	4.184	2.528	1.678	2.017
ENSMUSG00000029822	-0.956355395	0.00026881	4.918501601	2.47E-06	37.961	38.84	46.737	42.048	27.475	20.713	13.667	16.901
ENSMUSG00000050730	0.796800185	0.00026881	5.74009441	2.44E-06	47.612	40.817	36.125	37.64	70.424	61.928	64.979	62.387
ENSMUSG00000075015	-5.625011884	0.00026881	4.213552826	2.47E-06	152.989	1.658	0.984	2.374	0.316	0.632	0.959	0.835
ENSMUSG00000022946	-0.852500776	0.000269787	5.012119957	2.50E-06	47.612	37.31	49.262	39.266	26.054	16.219	20.621	24.969
ENSMUSG00000028037	-1.480414898	0.000279953	4.049508733	2.61E-06	36.388	14.477	38.795	14.174	8.29	12.568	5.355	6.955
ENSMUSG00000051220	-3.192364247	0.000282772	-0.16261935	2.67E-06	1.215	0.829	2.671	0.882	0.079	0.07	0.08	0.278
ENSMUSG00000059498	-1.137292518	0.000282772	3.584015433	2.67E-06	23.377	9.63	21.928	14.31	6.474	6.881	7.353	7.581
ENSMUSG00000026950	0.859150874	0.00030503	6.106912983	2.92E-06	67.058	47.195	54.046	37.436	92.767	77.586	94.631	75.115
ENSMUSG00000075044	-2.900121852	0.00030503	0.838231104	2.91E-06	1.215	3.763	1.757	4.747	0.711	0.281	0.4	0.07
ENSMUSG00000027469	-2.512197586	0.000307146	2.815122607	2.98E-06	13.798	3.444	31.064	3.188	2.369	1.896	1.439	2.087
ENSMUSG00000073421	-1.375509367	0.000307146	6.40135618	2.98E-06	167.358	60.524	212.882	84.978	34.186	51.115	34.527	60.161
ENSMUSG00000069516	-1.000489817	0.000340815	6.901546992	3.33E-06	219.403	110.908	232.491	116.853	88.346	72.671	72.412	72.055
ENSMUSG00000000440	-1.130780334	0.000367598	3.915701957	3.64E-06	15.013	23.279	25.512	21.227	12.632	8.777	8.312	6.26
ENSMUSG00000037712	0.793393889	0.000367598	6.987240549	3.64E-06	90.149	92.987	111.185	92.98	170.06	146.956	163.606	135.902
ENSMUSG00000028766	-1.129535649	0.000406386	3.908366804	4.05E-06	29.954	11.544	24.669	20.346	10.737	7.723	7.353	9.946
ENSMUSG00000044313	-2.515911652	0.000427809	0.053645399	4.30E-06	1.787	1.786	1.757	0.882	0.237	0.351	0.24	0.139
ENSMUSG00000034463	-1.533422863	0.000474877	3.854682167	4.80E-06	24.521	10.651	44.418	12.547	8.843	5.828	5.355	8.137
ENSMUSG00000028581	-0.929156541	0.000483383	4.440552359	4.92E-06	37.675	19.835	39.076	23.533	12.711	14.675	14.706	14.745
ENSMUSG00000026074	-0.965994774	0.000484036	5.623062109	4.96E-06	77.495	45.473	105.563	49.033	31.896	33.913	28.693	33.106
ENSMUSG00000049404	1.112442922	0.000484514	5.020455933	4.99E-06	26.38	15.115	18.062	25.839	25.027	51.396	44.518	48.268
ENSMUSG00000033777	-1.604203587	0.000485487	2.605411578	5.09E-06	16.3	4.464	11.526	5.9	3	2.949	2.877	2.365
ENSMUSG00000105326	1.30875641	0.000485487	2.539806465	5.09E-06	5.004	2.742	2.671	3.323	9.395	7.021	8.232	6.607
ENSMUSG00000106092	2.043771952	0.000485487	0.782879182	5.10E-06	0.715	0.383	0.562	0.949	3.632	2.036	1.918	2.434
ENSMUSG00000032080	-1.277003033	0.000490698	11.67713612	5.18E-06	6404.435	3801.274	3650.475	5460.286	1591.212	1922.879	1752.468	2067
ENSMUSG00000026683	-3.081625243	0.00049117	0.759274902	5.25E-06	3.003	1.977	6.396	0.339	0.316	0.281	0.24	0.348
ENSMUSG00000031645	0.844329691	0.00049117	6.247416774	5.23E-06	79.783	46.685	60.231	42.455	93.873	93.945	85.599	100.501
ENSMUSG00000036594	-1.311181286	0.000503865	5.611511804	5.42E-06	94.939	33.1	122.852	49.101	21.396	27.804	23.738	34.288
ENSMUSG00000062410	0.835006015	0.000588326	7.775784522	6.37E-06	145.84	170.783	189.013	150.284	306.487	289.747	246.714	235.051
ENSMUSG00000015340	-1.230038938	0.000609984	5.494112345	6.64E-06	94.296	35.014	103.032	39.132	26.528	28.787	19.102	28.655
ENSMUSG00000035455	-2.468979835	0.00061879	0.332406824	6.78E-06	2.145	1.276	3.233	1.221	0.158	0.351	0.16	0.556
ENSMUSG00000030789	-1.566788724	0.000634221	3.069785901	6.99E-06	18.016	5.931	21.717	7.46	3.869	3.651	5.275	3.06
ENSMUSG00000097312	-5.297638933	0.00064131	5.471041851	7.11E-06	366.38	3.905	3.118	5.331	2.146	0.351	3.037	2.793
ENSMUSG00000024056	-3.580931311	0.000674269	-0.24621635	7.52E-06	2.645	0.893	1.546	0.271	0.079	0.14	0	0.139
ENSMUSG00000030717	-1.946094626	0.000685034	3.724083506	7.69E-06	35.602	5.549	36.827	12.275	6.237	2.528	6.554	5.216
ENSMUSG00000060586	-1.255956484	0.000689027	5.067783074	7.78E-06	64.27	24.108	80.402	33.91	13.501	20.081	17.663	24.134
ENSMUSG00000097461	-1.742184143	0.000720441	2.712135232	8.18E-06	11.971	4.165	20.294	6.142	3.756	2.586	1.929	2.968
ENSMUSG00000026981	-1.793321669	0.000739895	3.648445596	8.45E-06	38.605	7.398	29.378	8.138	5.053	6.109	3.836	6.19
ENSMUSG00000038179	-1.551992838	0.000755458	2.249796822	8.68E-06	8.865	4.018	11.296	5.086	1.895	2.317	1.678	2.991
ENSMUSG00000027306	-1.991913176	0.000761908	1.563706282	8.80E-06	6.577	2.424	8.153	2.035	1.026	1.053	1.119	1.043
ENSMUSG00000053862	-1.424446862	0.000816781	2.163644055	9.49E-06	8.364	4.528	9.066	4.747	1.737	2.387	2.078	2.712
ENSMUSG00000095180	-3.882493285	0.000827175	1.296286571	9.66E-06	14.37	1.084	2.741	0.339	0.316	0.07	0.48	0.209
ENSMUSG00000027848	-1.624334715	0.000855777	4.148748877	1.01E-05	45.539	11.097	46.878	12.004	7.027	7.232	8.472	10.154
ENSMUSG00000063590	1.4104057	0.000897871	2.567086344	1.06E-05	2.073	4.911	2.882	3.12	10.5	7.864	6.394	7.79
ENSMUSG00000020272	-0.904671479	0.000902978	3.559544548	1.07E-05	18.23	12.564	19.679	13.496	7.5	7.794	6.474	9.25
ENSMUSG00000028238	-1.158144659	0.000944268	2.613829774	1.13E-05	8.936	7.589	10.542	7.46	4.658	2.668	3.277	3.547
ENSMUSG00000042041	-1.027405254	0.000963493	5.580309729	1.16E-05	65.771	67.412	71.828	61.648	26.606	16.641	40.042	36.653
ENSMUSG00000048327	-2.727483887	0.000983574	2.159781149	1.19E-05	7.864	1.594	21.436	2.035	0.947	1.545	0.639	1.113
ENSMUSG00000058715	-1.043506872	0.001002726	3.396623068	1.22E-05	19.66	10.778	15.251	13.157	6	8.426	4.556	6.955
ENSMUSG00000072849	1.685588497	0.001032453	12.19249457	1.26E-05	4475.284	1505.202	2569.626	988.264	5502.175	5361.198	7606.419	8856.723
ENSMUSG00000034457	-1.557581805	0.001048909	2.167960362	1.29E-05	6.649	4.337	11.596	4.951	2.447	1.685	2.797	1.461
ENSMUSG00000028068	-2.577217666	0.001053564	0.922985556	1.30E-05	3.289	1.212	7.239	1.085	0.395	0.632	0.4	0.417
ENSMUSG00000015950	-1.246836937	0.001076258	2.915150628	1.33E-05	13.941	5.867	12.791	11.32	5.448	3.226	3.517	4.59
ENSMUSG00000046688	-0.851114418	0.001099118	4.5962265	1.37E-05	46.612	24.809	31.627	27.263	15.632	15.868	15.745	18.431
ENSMUSG00000027712	-0.881618662	0.00110663	7.852238524	1.39E-05	365.815	223.794	444.74	239.131	151.744	163.386	143.624	164.557
ENSMUSG00000045394	-1.674986548	0.001201457	3.173281797	1.51E-05	19.803	5.804	27.058	6.036	4.263	3.37	4.316	4.173
ENSMUSG00000032218	-2.627711804	0.001211305	1.517502933	1.54E-05	4.003	2.679	12.651	0.814	0.868	0.772	0.48	0.696
ENSMUSG00000035365	-3.805843218	0.001211305	-0.499316336	1.54E-05	0.929	0.574	2.53	0.339	0.096	0	0.16	0
ENSMUSG00000049103	-1.379913648	0.001311689	3.322536605	1.68E-05	23.949	6.952	21.295	9.02	5.763	5.687	5.355	4.103
ENSMUSG00000016763	-2.115593598	0.001347509	2.43328127	1.73E-05	16.514	2.679	14.9	2.984	2.132	2.106	1.279	1.947
ENSMUSG00000001517	-2.434637394	0.001401286	1.066482883	1.81E-05	3.932	1.339	7.52	1.289	0.632	0.632	0.719	0.278
