ID	Log2FC	FDR	AveExpr	P value	MUP-uPA CPM 1	MUP-uPA CPM 2	MUP-uPA CPM 3	MUP-uPA CPM 4	MuP-uPA/sgp130_BGP-15_CPM 1	MuP-uPA/sgp130_BGP-15_CPM 2	MuP-uPA/sgp130_BGP-15_CPM 3	MuP-uPA/sgp130_BGP-15_CPM 4
ENSMUSG00000042616	-0.871938155	0.693601147	-0.720392811	0.296501042	0.858	0.255	1.195	0.271	0.947	0.07	0.24	0
ENSMUSG00000049643	-0.392615058	0.693601147	0.874163552	0.296517764	2.288	2.168	2.038	1.492	1.5	1.334	1.359	1.391
ENSMUSG00000039840	0.166688795	0.693682151	5.637867207	0.296609547	53.904	45.282	55.03	41.98	50.292	50.483	53.549	47.016
ENSMUSG00000031065	-0.172047979	0.693729946	4.715046398	0.296675507	32.242	23.661	33.103	27.263	22.264	22.679	23.338	25.873
ENSMUSG00000026344	-0.41679166	0.69380105	1.598915877	0.296751443	4.365	3.168	3.871	2.445	3.088	1.444	1.124	3.805
ENSMUSG00000015889	0.177363435	0.693812311	4.418186293	0.296801789	19.946	19.324	25.582	18.718	20.843	21.485	23.098	21.004
ENSMUSG00000021567	-0.468268728	0.693933213	0.2988424	0.298037462	1.573	1.403	1.476	0.814	1.105	0.843	0.48	1.043
ENSMUSG00000021681	0.191682512	0.693933213	4.903453988	0.297924449	26.022	32.654	25.653	30.451	32.449	28.155	31.33	29.907
ENSMUSG00000021928	0.221016937	0.693933213	4.907354782	0.297929189	18.873	32.335	29.588	32.892	35.37	32.298	27.334	28.516
ENSMUSG00000024949	0.185315202	0.693933213	5.460732584	0.297953804	55.762	30.677	46.456	40.353	44.134	40.513	48.834	45.556
ENSMUSG00000025935	0.191079208	0.693933213	7.869944627	0.297405844	217.044	224.049	217.732	246.795	224.221	251.714	222.27	257.824
ENSMUSG00000026123	-0.193878883	0.693933213	3.985720308	0.297661088	18.087	16.199	18.273	17.362	13.659	16.009	11.269	15.232
ENSMUSG00000028710	0.297392333	0.693933213	2.777894002	0.296982862	6.577	5.74	8.293	4.815	10.895	5.055	7.193	5.425
ENSMUSG00000028868	-0.185415847	0.693933213	4.59095894	0.297804702	32.314	19.006	30.854	25.364	20.606	23.17	19.182	23.021
ENSMUSG00000030762	-0.357312953	0.693933213	6.236213165	0.297788715	32.885	137.376	60.793	108.647	56.134	77.235	57.066	62.596
ENSMUSG00000032688	0.189713295	0.693933213	4.78678523	0.297480492	28.31	22.45	34.649	22.787	31.423	32.86	24.857	23.299
ENSMUSG00000034024	0.168825539	0.693933213	6.514965639	0.297326222	101.445	85.525	90.663	81.587	85.978	97.596	92.553	94.38
ENSMUSG00000037032	-0.637232268	0.693933213	-0.163655931	0.297595907	1.144	0.51	1.687	0.543	1.026	0.702	0.08	0.417
ENSMUSG00000038023	-0.166331314	0.693933213	5.419585885	0.297996339	50.83	42.986	47.862	46.66	38.607	40.302	33.888	41.452
ENSMUSG00000042549	-0.611767832	0.693933213	-0.24375676	0.297487024	1.358	0.446	1.265	0.543	0.868	0.632	0.48	0.139
ENSMUSG00000045100	-0.370516756	0.693933213	1.404619569	0.297831266	2.86	3.329	3.092	2.441	2.526	2.528	1.998	1.321
ENSMUSG00000046179	0.495520073	0.693933213	3.88005785	0.297216045	9.318	11.588	18.371	11.55	6.738	43.859	7.365	7.586
ENSMUSG00000046707	0.199854025	0.693933213	4.483054137	0.297661054	26.952	21.238	21.436	17.023	24.08	28.085	19.342	19.752
ENSMUSG00000049516	0.218964646	0.693933213	5.228993563	0.297709625	43.966	28.443	44.348	29.23	29.37	30.753	50.672	42.822
ENSMUSG00000051498	-0.429341575	0.693933213	0.726643616	0.297848872	1.43	1.658	2.46	1.695	1.895	1.053	0.879	1.113
ENSMUSG00000060131	0.263209131	0.693933213	2.59923475	0.297291291	7.006	5.23	6.044	4.34	7.342	6.179	5.755	5.564
ENSMUSG00000061758	-0.434196305	0.693933213	0.861887663	0.297272666	2.502	1.02	2.811	1.831	1.421	0.913	1.359	1.739
ENSMUSG00000066595	-0.329029731	0.693933213	2.233118613	0.297172092	5.219	3.827	6.958	5.358	3.79	3.581	5.595	2.504
ENSMUSG00000097026	-0.675325009	0.693933213	0.143180708	0.297213075	1.798	0.61	1.912	0.725	1.052	1.169	0.595	0
ENSMUSG00000097352	0.648169324	0.693933213	-0.522492208	0.297154861	0.357	0.51	0.843	0.136	1.105	0.562	0.719	0.278
ENSMUSG00000101111	0.552820474	0.693933213	0.020028216	0.297358824	0.357	0.957	0.422	1.153	1.421	0.772	0.879	0.974
ENSMUSG00000113775	0.523061577	0.693933213	0.409427428	0.297688233	1.001	0.446	2.179	0.61	1.184	1.194	1.918	1.113
ENSMUSG00000002105	-0.242399848	0.694040661	3.157228674	0.298486537	11.939	6.888	13.775	7.799	7.974	7.583	7.833	7.442
ENSMUSG00000015747	0.226943424	0.694040661	3.274112613	0.298381708	12.225	7.845	8.504	8.274	9.079	8.987	10.71	10.641
ENSMUSG00000019087	-0.161380416	0.694040661	5.971119058	0.298495234	72.563	62.119	78.223	63.954	54.555	57.154	54.509	60.37
ENSMUSG00000020585	-0.17241533	0.694040661	7.166284072	0.29837655	157.493	140.82	181.607	156.391	133.19	131.86	116.21	136.598
ENSMUSG00000021118	-0.675573235	0.694040661	-0.099565796	0.29931329	1.716	0.255	1.968	0.271	0.711	0.772	0.32	0.487
ENSMUSG00000021519	0.218314476	0.694040661	4.003661523	0.299052204	14.87	12.883	13.143	20.007	17.29	15.377	17.424	15.51
ENSMUSG00000023411	0.586219534	0.694040661	-0.545929342	0.298212312	0.357	0.191	0.914	0.407	0.711	0.562	0.639	0.626
ENSMUSG00000029699	-0.367247512	0.694040661	1.456682093	0.298526218	2.788	3.763	2.671	2.848	2.684	2.528	1.758	1.739
ENSMUSG00000033124	0.197681506	0.694040661	5.337456553	0.298671628	33.274	46.911	34.772	39.669	39.416	41.846	39.757	44.063
ENSMUSG00000033676	0.287576976	0.694040661	3.362693536	0.298893757	7.578	9.375	6.817	13.7	14.369	9.619	10.31	8.624
ENSMUSG00000034800	0.304266359	0.694040661	2.218116367	0.299304148	4.218	4.146	3.725	4.68	5.29	5.687	4.795	3.408
ENSMUSG00000038302	0.225507438	0.694040661	3.771715284	0.299298621	12.654	14.159	9.91	14.649	13.501	16.641	13.108	12.658
ENSMUSG00000038780	-0.212562317	0.694040661	4.515374535	0.298551337	18.659	27.488	26.145	28.484	21.238	23.521	16.864	19.196
ENSMUSG00000040463	-0.186200088	0.694040661	5.493127008	0.298613063	63.626	35.906	60.274	42.455	39.279	37.002	39.483	45.277
ENSMUSG00000040767	0.566906565	0.694040661	-0.347344212	0.298735721	0.715	0.574	0.492	0.407	0.553	0.351	1.039	1.043
ENSMUSG00000054555	-0.461941633	0.694040661	0.359412452	0.298664925	1.358	0.893	2.179	1.153	0.947	0.632	0.959	1.113
ENSMUSG00000064120	0.203083859	0.694040661	6.053046247	0.298612339	51.759	66.137	57.631	78.331	73.424	66.422	57.785	74.697
ENSMUSG00000066571	0.179744094	0.694040661	5.053305617	0.298984483	37.844	30.512	38.257	23.879	31.557	33.193	36.817	33.023
ENSMUSG00000067873	0.167569173	0.694040661	5.089209389	0.298560151	31.956	30.422	36.265	34.588	37.975	34.685	32.21	32.828
ENSMUSG00000068921	0.209777327	0.694040661	3.822300758	0.298805678	16.3	13.074	12.51	12.343	17.764	14.865	10.92	14.229
ENSMUSG00000070738	-0.181289793	0.694040661	4.677245186	0.299016561	34.601	22.641	32.751	24.008	25.264	23.241	19.342	23.717
ENSMUSG00000079427	0.235765707	0.694040661	3.300187715	0.299086666	9.866	8.036	7.801	11.326	9.948	8.487	10.23	11.615
ENSMUSG00000091575	-0.51897907	0.694040661	-0.187245269	0.298968346	0.751	0.893	1.134	0.818	0.711	0.711	0.24	0.626
ENSMUSG00000096727	-0.214921822	0.694040661	3.499594333	0.299193584	14.881	9.44	11.949	13.918	9.556	10.3	9.111	10.645
ENSMUSG00000109036	-0.822408867	0.694040661	-0.718177753	0.299144003	0.715	0.128	0.773	0.882	0.79	0.07	0	0.417
ENSMUSG00000113529	0.482635358	0.694040661	1.036324255	0.298873694	2.408	1.755	1.796	0.79	4.203	1.26	1.462	1.743
ENSMUSG00000114267	0.603443949	0.694040661	-0.453955542	0.298905181	0.572	0.128	0.843	0.475	1.105	0.562	0.48	0.626
ENSMUSG00000023224	-0.214264081	0.694457309	9.47433962	0.299811972	884.977	752.569	795.444	755.304	567.816	624.265	622.532	709.208
